family,fiscal_year,cases
Business / Mgmt Analyst,2024,9845
Business / Mgmt Analyst,2025,11413
Data Science / BI,2024,23294
Data Science / BI,2025,31465
Industrial Engineering,2024,6267
Industrial Engineering,2025,7640
Operations Research,2024,8146
Operations Research,2025,7475
Quant / Finance,2024,10962
Quant / Finance,2025,12388
Statistics / Decision Science,2024,4649
Statistics / Decision Science,2025,4406
Supply Chain / Logistics,2024,3290
Supply Chain / Logistics,2025,4071
Analytics (combined),2024,47051
Analytics (combined),2025,55734
