CASE_NUMBER,CASE_STATUS,DECISION_DATE,VISA_CLASS,JOB_TITLE,SOC_CODE,SOC_TITLE,FULL_TIME_POSITION,TOTAL_WORKER_POSITIONS,NEW_EMPLOYMENT,CHANGE_EMPLOYER,EMPLOYER_NAME,EMPLOYER_FEIN,EMPLOYER_STATE,WORKSITE_CITY,WORKSITE_STATE,WAGE_RATE_OF_PAY_FROM,WAGE_UNIT_OF_PAY,PREVAILING_WAGE,PW_UNIT_OF_PAY,PW_WAGE_LEVEL,H-1B_DEPENDENT,WILLFUL_VIOLATOR
I-200-2024-00000,Certified,2024-07-20,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,0,1,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,50.0,Hour,118200.0,Year,I,N,N
I-200-2024-00001,Withdrawn,2024-04-30,E-3 Australian,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,0,1,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,9000000.0,Year,92800.0,Year,,N,N
I-200-2024-00002,Certified,2024-02-01,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,1,1,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,116000.0,Year,109300.0,Year,IV,N,N
I-200-2024-00003,Certified,2024-08-15,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,1,0,Desert Health System,00-0000004,AZ,Demo City,AZ,83700.0,Year,70600.0,Year,II,N,N
I-200-2024-00004,Certified,2024-04-25,E-3 Australian,Software Developer,15-1252.00,Software Developers,Y,1,0,0,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,141600.0,Year,122400.0,Year,IV,N,N
I-200-2024-00005,Certified,2024-03-29,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,0,1,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,145400.0,Year,132100.0,Year,IV,N,N
I-200-2024-00006,Certified,2024-01-05,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,1,0,Desert Health System,00-0000004,AZ,Demo City,AZ,83700.0,Year,73700.0,Year,II,N,N
I-200-2024-00007,Certified,2023-10-28,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,1,1,Desert Health System,00-0000004,AZ,Demo City,AZ,112500.0,Year,97900.0,Year,III,N,N
I-200-2024-00008,Certified,2023-11-10,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,2,0,1,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,91500.0,Year,91000.0,Year,,N,N
I-200-2024-00009,Certified - Withdrawn,2024-09-01,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,1,0,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,104500.0,Year,87200.0,Year,,N,N
I-200-2024-00010,Certified - Withdrawn,2023-10-20,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,2,0,0,Desert Health System,00-0000004,AZ,Demo City,AZ,79700.0,Year,73500.0,Year,I,N,N
I-200-2024-00011,Denied,2024-09-07,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,2,1,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,142300.0,Year,114900.0,Year,,N,N
I-200-2024-00012,Denied,2023-10-13,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,1,1,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,85600.0,Year,70100.0,Year,,N,N
I-200-2024-00013,Certified,2024-03-24,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,1,0,Desert Health System,00-0000004,AZ,Demo City,AZ,99100.0,Year,83400.0,Year,II,N,N
I-200-2024-00014,Certified,2024-02-23,H-1B,Software Developer,15-1252.00,Software Developers,Y,2,0,0,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,115000.0,Year,114800.0,Year,IV,N,N
I-200-2024-00015,Certified,2023-10-20,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,0,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,92000.0,Year,87000.0,Year,II,N,N
I-200-2024-00016,Certified,2024-08-31,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,0,1,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,100200.0,Year,97600.0,Year,,N,N
I-200-2024-00017,Certified,2024-07-29,H-1B,Software Developer,15-1252.00,Software Developers,Y,2,0,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,93700.0,Year,75900.0,Year,III,N,N
I-200-2024-00018,Certified - Withdrawn,2024-05-22,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,0,1,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,102300.0,Year,95800.0,Year,IV,N,N
I-200-2024-00019,Certified,2024-06-24,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,2,1,0,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,81600.0,Year,72500.0,Year,,N,N
I-200-2024-00020,Certified,2024-03-31,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,2,0,0,Desert Health System,00-0000004,AZ,Demo City,AZ,96200.0,Year,85000.0,Year,IV,N,N
I-200-2024-00021,Certified,2024-09-14,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,2,0,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,100900.0,Year,95000.0,Year,I,N,N
I-200-2024-00022,Certified,2024-08-02,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,1,0,Desert Health System,00-0000004,AZ,Demo City,AZ,98300.0,Year,84700.0,Year,III,N,N
I-200-2024-00023,Certified,2023-10-03,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,2,0,1,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,106100.0,Year,95800.0,Year,III,N,N
I-200-2024-00024,Certified,2024-01-09,H-1B,Software Developer,15-1252.00,Software Developers,Y,2,1,0,Desert Health System,00-0000004,AZ,Demo City,AZ,99100.0,Year,84400.0,Year,IV,N,N
I-200-2024-00025,Certified,2024-03-05,E-3 Australian,Data Scientist,15-2051.00,Data Scientists,Y,1,0,1,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,120100.0,Year,105500.0,Year,IV,N,N
I-200-2024-00026,Certified,2024-05-22,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,1,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,98500.0,Year,89300.0,Year,,N,N
I-200-2024-00027,Certified,2024-01-11,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,2,1,1,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,102300.0,Year,85100.0,Year,IV,N,N
I-200-2024-00028,Certified,2024-04-24,E-3 Australian,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,1,0,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,91700.0,Year,78400.0,Year,,N,N
I-200-2024-00029,Certified,2023-11-08,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,1,1,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,94500.0,Year,83500.0,Year,I,N,N
I-200-2024-00030,Certified,2024-05-18,E-3 Australian,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,1,0,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,79700.0,Year,71300.0,Year,II,N,N
I-200-2024-00031,Certified,2024-06-21,E-3 Australian,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,2,0,1,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,115400.0,Year,110800.0,Year,III,N,N
I-200-2024-00032,Certified,2024-06-25,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,2,1,0,Desert Health System,00-0000004,AZ,Demo City,AZ,82100.0,Year,76200.0,Year,IV,N,N
I-200-2024-00033,Certified,2024-01-31,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,0,0,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,90100.0,Year,82200.0,Year,III,N,N
I-200-2024-00034,Certified,2023-10-29,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,1,0,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,112200.0,Year,109300.0,Year,I,N,N
I-200-2024-00035,Certified,2023-10-15,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,2,1,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,113100.0,Year,94900.0,Year,II,N,N
I-200-2024-00036,Certified,2024-03-15,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,2,0,1,Desert Health System,00-0000004,AZ,Demo City,AZ,97000.0,Year,79600.0,Year,I,N,N
